student_id,question_id,knowledgecomponent_id,answers
1,2,1,1
1,7,2,0
1,3,2,0
1,4,2,0
1,5,3,0
1,6,4,1
1,8,7,0
1,13,2,1
1,10,5,1
1,54,"19,18",1
1,14,"5,8",0
1,87,"44,29,40",1
1,88,"42,45,40,41",1
1,89,"42,40,41",1
1,90,42,1
1,91,12,1
1,92,12,1
1,93,45,1
1,94,46,1
1,95,"47,48",1
1,96,"49,51",1
1,97,"50,53",1
1,98,"43,50",1
1,99,"49,52",1
1,100,"50,53",1
1,101,"43,50",1
1,102,"12,42,41",1
1,103,46,1
1,104,"42,40,41",1
1,105,"54,55",1
1,106,"54,56",1
1,107,"54,13,14",1
1,108,"54,57",1
1,109,"54,56",1
1,110,"54,13,14",1
1,111,"54,57",1
1,112,"54,58",1
1,113,"54,57",1
1,114,"54,57",1
1,115,"54,58",1
1,116,"54,58",1
1,117,"54,59",1
1,118,"54,59",1
1,119,"54,13,22",1
1,120,"54,13,22",1
1,121,"54,13,22",1
1,122,"54,13,22",1
1,123,"54,60",1
1,124,"54,13,22",1
1,126,"62,63,61",1
1,127,"62,63,61",1
1,128,"62,63,61",1
1,129,64,1
1,130,"64,65",1
1,131,"64,65",1
1,132,"64,65",1
1,133,"64,65",1
1,134,"54,64,65",1
1,135,"64,61",1
1,136,"65,61",1
1,137,"64,65,61",1
1,138,"63,65",1
1,139,"62,63,65",1
1,173,"71,72,73",1
1,174,70,1
1,175,"72,73",1
1,176,"71,74",1
1,177,75,1
1,192,79,1
1,193,"82,83,84",1
1,194,81,1
1,195,83,1
1,196,85,1
1297,212,81,1
1297,211,87,0
1297,210,91,1
1297,209,86,0
1297,208,81,1
1297,207,"91,83,92,93",0
1297,206,"81,83,92",0
1297,205,"83,93",0
1297,204,"90,85",1
1297,203,"89,85",0
1297,202,"88,85",1
1297,201,87,1
1297,200,85,1
1297,199,85,1
1297,198,86,1
1297,197,81,1
1297,196,85,1
1297,195,83,1
1297,194,81,1
1297,193,"82,83,84",1
1297,192,79,1
1297,191,70,1
1297,190,80,1
1297,189,74,0
1297,188,70,1
1297,187,"73,76",1
1297,186,"73,76",0
1297,185,79,0
1297,184,78,1
1297,183,75,1
1297,182,74,1
1297,181,72,1
1297,180,72,1
1297,179,77,1
1297,178,76,1
1297,177,75,1
1297,176,"71,74",1
1297,175,"72,73",1
1297,174,70,1
1297,173,"71,72,73",1
1297,172,66,1
1297,171,66,0
1297,170,"5,66",0
1297,169,"5,66",0
1297,168,"6,66",0
1297,167,"6,66",1
1297,166,66,0
1297,165,"28,67",1
1297,164,"28,67",0
1297,163,"28,67,68",0
1297,162,"28,67,68",0
1297,161,"58,66",1
1297,160,"58,66",0
1297,159,"58,66",1
1297,158,"58,66",1
1297,157,"58,66",1
1297,156,"28,66,67,69",0
1297,155,"28,66,69",0
1297,154,"66,67,2,69",1
1297,153,"28,66",0
1297,152,"28,66,68",0
1297,151,"28,66",0
1297,150,"28,66",0
1297,149,"28,66",0
1297,148,"66,67,2",0
1297,147,2,1
1297,146,"7,66,67,68",1
1297,145,"7,66,67,68",1
1297,144,"5,66,67,68",0
1297,143,"5,66,67,68",1
1297,142,"66,67",0
1297,141,"66,68",0
1297,140,"66,67",0
1297,139,"62,63,65",1
1297,138,"63,65",1
1297,137,"64,65,61",1
1297,136,"65,61",1
1297,135,"64,61",1
1297,134,"54,64,65",1
1297,133,"64,65",1
1297,132,"64,65",0
1297,131,"64,65",1
1297,130,"64,65",1
1297,129,64,1
1297,128,"62,63,61",1
1297,127,"62,63,61",0
1297,126,"62,63,61",1
1297,125,"54,13,22",0
1297,124,"54,13,22",0
1297,123,"54,60",1
1297,122,"54,13,22",0
1297,121,"54,13,22",1
1297,120,"54,13,22",0
1297,119,"54,13,22",1
1297,118,"54,59",0
1297,117,"54,59",1
1297,116,"54,58",1
1297,115,"54,58",1
1297,114,"54,57",0
1297,113,"54,57",1
1297,112,"54,58",0
1297,111,"54,57",1
1297,110,"54,13,14",1
1297,109,"54,56",0
1297,108,"54,57",1
1297,107,"54,13,14",0
1297,106,"54,56",1
1297,105,"54,55",0
1297,104,"42,40,41",1
1297,103,46,1
1297,102,"12,42,41",1
1297,101,"43,50",0
1297,100,"50,53",1
1297,99,"49,52",1
1297,98,"43,50",1
1297,97,"50,53",1
1297,96,"49,51",1
1297,95,"47,48",1
1297,94,46,1
1297,93,45,1
1297,92,12,1
1297,91,12,1
1297,90,42,1
1297,89,"42,40,41",1
1297,88,"42,45,40,41",1
1297,87,"44,29,40",1
1297,86,"31,24",1
1297,85,"27,39,24",0
1297,84,"27,24",0
1297,83,"39,24",0
1297,82,"39,24",0
1297,81,24,0
1297,80,"38,24",0
1297,79,"37,24",0
1297,78,"36,24",0
1297,77,24,1
1297,76,"35,24",0
1297,75,"5,24",0
1297,74,"31,24,34",0
1297,73,"32,31,24",1
1297,72,"32,24,33",0
1297,71,24,1
1297,70,30,0
1297,69,24,0
1297,68,24,1
1297,67,24,0
1297,66,"19,15",1
1297,65,"29,16",1
1297,64,"19,16",1
1297,63,24,1
1297,62,24,1
1297,61,"28,23",1
1297,60,26,1
1297,59,25,1
1297,58,25,1
1297,57,23,1
1297,56,24,1
1297,55,"17,18",1
1297,54,"19,18",1
1297,53,"20,21",1
1297,52,20,1
1297,51,19,1
1297,50,"17,18",1
1297,49,"14,22",1
1297,48,"14,22",1
1297,47,"14,22",1
1297,46,"14,22",1
1297,45,"14,22",1
1297,44,"15,16",1
1297,43,14,1
1297,42,15,1
1297,41,14,1
1297,40,"9,10",1
1297,39,"12,13",1
1297,38,"9,10",1
1297,37,12,1
1297,36,11,1
1297,35,10,1
1297,34,"8,2",1
1297,33,"8,2",1
1297,32,"8,2",1
1297,31,"8,2",1
1297,30,"8,2",1
1297,29,"7,2",1
1297,28,"5,6,3",0
